Year,     Jan,      Feb,      Mar,      Apr,      May,      Jun,      Jul,      Aug,      Sep,      Oct,      Nov,      Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1968,-12.9,-12.7,-2,-1,2.9,4.9,8.2,6.9,4.1,0.6,-3.9,-17.4,-1.9,-12.9,0,6.7,0.3
1969,-29,-13.8,-5.8,0.9,2.7,9,7.5,6.9,5,-1.9,-0.4,-5,-2,-20.1,-0.7,7.8,0.9
1970,-15.9,-6,-4.6,-2,2.6,6.8,6.8,7,3,-0.4,-10.3,-16.7,-2.5,-9,-1.3,6.9,-2.6
1971,-14.8,-9.3,-7.6,-0.2,2.3,7.2,9,9.1,3,-1.5,-3.1,-18.8,-2.1,-13.6,-1.8,8.4,-0.5
1972,-21.2,-13.4,-4.5,-2.2,2.2,7.1,7.7,7.5,2.6,-2,-4.2,-15.2,-3,-17.8,-1.5,7.4,-1.2
1973,-12.9,-10.1,-3.8,-1.3,3.1,6,7.6,5.3,3.5,0.5,-11,-8.5,-1.8,-12.7,-0.7,6.3,-2.3
1974,-19.3,-6.8,-7.2,-0.7,2.5,5.5,7.5,8.4,4.4,0.7,-5.9,-6.1,-1.4,-11.5,-1.8,7.1,-0.3
1975,-13.6,-16.7,-9,-3.8,2.2,6.2,10.8,7.7,3.3,1.1,-7.4,-9.9,-2.4,-12.1,-3.5,8.2,-1
1976,-9.1,-8.6,-7.6,-1.6,2.6,5.3,8.3,9.7,5.1,0.5,-3.1,-5.9,-0.4,-9.2,-2.2,7.8,0.8
1977,-10.7,-3.4,-3.3,0,3,6.5,7.9,8.8,3.4,1,-7.9,-17.3,-1,-6.7,-0.1,7.7,-1.2
1978,-15.8,-9.3,-4.5,0.2,2.5,7.3,9.1,7.7,4,1.7,-9.5,-14.9,-1.8,-14.1,-0.6,8,-1.3
1979,-22.8,-16.5,-4.2,-1.4,3.3,6.1,8.3,7.9,5.3,1.8,-6.7,-9.1,-2.3,-18.1,-0.8,7.4,0.1
1980,-17.3,-8.1,-6.4,-0.1,4.3,7.4,8.5,6.8,4.6,1.9,-1.9,-10.7,-0.9,-11.5,-0.7,7.6,1.5
1981,-6.2,-6.1,-3.7,-1.3,4.8,5.4,9.5,8.5,5.6,0.5,-1.8,-11.6,0.3,-7.7,-0.1,7.8,1.4
1982,-20.8,-15.3,-9.4,-3.9,2.5,7.7,10.5,8.3,6,1.5,-8.6,-9.4,-2.6,-15.9,-3.6,8.8,-0.4
1983,-8.2,-4.3,-5.2,-0.7,4.2,7.9,8.9,7.9,2.8,0.6,-3.2,-19.8,-0.8,-7.3,-0.6,8.2,0.1
1984,-6.6,-2.7,-3.1,-1.1,1.7,6.6,7.7,8.3,2.2,-2.3,-7,-18.3,-1.2,-9.7,-0.8,7.5,-2.4
1985,-8.3,-9.5,-4.1,-1.8,3.3,5.9,8.2,6.9,2.3,-0.2,-18.8,-9.8,-2.2,-12,-0.9,7,-5.6
1986,-5.6,-12.2,-1.9,-1,3.2,6.4,8.5,7.2,2.3,1,-7.7,-8.3,-0.7,-9.2,0.1,7.4,-1.5
1987,-7.3,-4.2,-4.8,-0.1,3,6.6,9.5,7.2,5.3,-0.6,-2.4,-6.7,0.5,-6.6,-0.6,7.8,0.8
1988,-14.2,-10.2,-3.2,-0.4,3.6,7.3,7.6,7.5,3.1,0.9,-3,-9.9,-0.9,-10.4,0,7.5,0.3
1989,-11,-18.4,-9.9,-0.6,3.4,7.2,8.8,8.7,4,0.6,-2.9,-5.4,-1.3,-13.1,-2.4,8.2,0.6
1990,-8.7,-11.9,-5.5,-1.4,4.2,7.5,9,8.9,4.4,-0.5,-8.3,-15.1,-1.5,-8.7,-0.9,8.5,-1.5
1991,-19.5,-1.9,-8,-1.2,3.3,7.4,8.8,9.7,4.7,-2.5,-3.3,-3.4,-0.5,-12.2,-2,8.6,-0.4
1992,-2.6,-5.4,-2.8,-0.2,2.7,10,8.7,7.3,4.8,0,-3.3,-15.3,0.3,-3.8,-0.1,8.7,0.5
1993,-19.4,-10.2,-4.5,0.1,6.7,7.8,9.5,7.4,3.1,0.7,-5.8,-5,-0.8,-15,0.8,8.2,-0.7
1994,-8.7,-14.7,-2.3,0.2,3.5,8.3,9.4,7.9,6.9,0.3,-5.3,-10.1,-0.4,-9.5,0.5,8.5,0.6
1995,-12,-7.4,-5.6,0,3.2,7.6,9.8,7.3,3.8,0.7,-5.9,-13.8,-1,-9.8,-0.8,8.2,-0.5
1996,-20.7,-8.9,-7.1,0.1,1.6,7.3,8.3,8.3,4.4,-1,-9.8,-17.4,-2.9,-14.5,-1.8,8,-2.1
1997,-12.6,-6.8,-6.8,-1.1,3.7,7.7,9.5,8.8,4.7,0.8,-3.4,-4.5,0,-12.3,-1.4,8.7,0.7
1998,-13.8,-4.2,-3.8,-0.8,6.8,8.9,11,9,4.6,1.3,-3.4,-8.6,0.6,-7.5,0.7,9.6,0.8
