Date,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
1992-08-13,417.779999,419.880005,416.399994,417.730011,185750000,417.730011
1992-08-14,417.73999,420.399994,417.73999,419.910004,166820000,419.910004
1992-08-17,419.890015,421.890015,419.440002,420.73999,152830000,420.73999
1992-08-18,420.73999,421.399994,419.779999,421.339996,171750000,421.339996
1992-08-19,421.339996,421.619995,418.190002,418.190002,187070000,418.190002
1992-08-20,418.190002,418.850006,416.929993,418.26001,183420000,418.26001
1992-08-21,418.269989,420.350006,413.579987,414.850006,204800000,414.850006
1992-08-24,414.799988,414.799988,410.070007,410.720001,165690000,410.720001
1992-08-25,410.730011,411.640015,408.299988,411.609985,202760000,411.609985
1992-08-26,411.649994,413.609985,410.529999,413.51001,171860000,413.51001
1992-08-27,413.51001,415.829987,413.51001,413.529999,178600000,413.529999
1992-08-28,413.540009,414.950012,413.380005,414.839996,152260000,414.839996
1992-08-31,414.869995,415.290009,413.76001,414.029999,161480000,414.029999
1992-09-01,414.029999,416.070007,413.350006,416.070007,172680000,416.070007
1992-09-02,416.070007,418.279999,415.309998,417.980011,187480000,417.980011
1992-09-03,417.980011,420.309998,417.48999,417.980011,212500000,417.980011
1992-09-04,417.980011,418.619995,416.76001,417.079987,124380000,417.079987
1992-09-08,417.079987,417.179993,414.299988,414.440002,161440000,414.440002
1992-09-09,414.440002,416.440002,414.440002,416.359985,178800000,416.359985
1992-09-10,416.339996,420.519989,416.339996,419.950012,221990000,419.950012
1992-09-11,419.950012,420.579987,419.130005,419.579987,180560000,419.579987
1992-09-14,419.649994,425.269989,419.649994,425.269989,250940000,425.269989
1992-09-15,425.220001,425.220001,419.540009,419.769989,211860000,419.769989
1992-09-16,419.709991,422.440002,417.769989,419.920013,231450000,419.920013
1992-09-17,419.920013,421.429993,419.619995,419.929993,188270000,419.929993
1992-09-18,419.920013,422.929993,419.920013,422.929993,237440000,422.929993
1992-09-21,422.899994,422.899994,421.179993,422.140015,153940000,422.140015
1992-09-22,422.140015,422.140015,417.130005,417.140015,188810000,417.140015
1992-09-23,417.140015,417.880005,416,417.440002,205700000,417.440002
1992-09-24,417.459991,419.01001,417.459991,418.470001,187960000,418.470001
1992-09-25,418.470001,418.630005,412.709991,414.350006,213670000,414.350006
